"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AC091179.1",2.30539923207265,5.45133803725542,1.26753402727266,9.38195395143331e-05,0.000289868500672682
"MRPL45P1",2.27553991627743,7.30731876325459,2.71781137713986,9.42715762452213e-05,0.000291118113974054
"AC099050.1",3.6374651749454,-1.13554417648724,0.301612779033041,9.44303371594898e-05,0.000291522488462145
"RPS6P12",4.60735480064367,2.98346310844983,0.712388548759973,9.47527773750854e-05,0.00029238272964733
"AC005326.1",2.02747216937745,2.28698619415244,0.601233728318608,9.52403905413442e-05,0.000293813283132336
"AC027514.1",2.79805425065125,3.20926028577922,0.516237584357764,9.53819024600034e-05,0.000294200392866297
"MOGAT3",2.14163728043735,4.50157267376548,0.940531871138719,9.56940579954506e-05,0.000295138420508906
"Z95115.2",4.15222562113325,1.02767040100277,0.27558348267854,9.58263511065822e-05,0.000295521607697254
"SMG1P1",19.6743423876414,1.13759519850113,0.315625659604019,9.60442708455366e-05,0.000296069289066003
"LINC01634",5.75458511494649,1.82199491673836,0.547271051850909,9.65251998758074e-05,0.00029752683155942
"DRC7",97.3346634774583,-1.36394171739731,0.367154640710629,9.65562002293728e-05,0.000297572411889834
"ITGB5-AS1",2.55066662222536,2.14870675761911,0.699853393394577,9.65481845892877e-05,0.000297572411889834
"H3C14",4.57846977907016,2.67967222516209,0.496751885172458,9.6625030201703e-05,0.00029775953732741
"AC004158.1",2.04874829494958,3.63776903193583,0.869389064813558,9.7199047353329e-05,0.000299453011350902
"CYP8B1",21.4883518915258,1.31367036705763,0.373334347370182,9.76342167102846e-05,0.000300617079936347
"NPIPB6",5.51082164495576,1.22647127495292,0.332472227333581,9.78201063465617e-05,0.000301164175439871
"LINC02521",2.03050421610767,1.56275093136684,0.438162914329017,9.80643203387993e-05,0.000301797314333163
"AC018978.1",3.86223360341123,3.61715282053697,0.864161070658942,9.80722511327592e-05,0.000301797314333163
"RPL7AP65",2.36840871819921,2.37417625322705,0.670722461584787,9.84167770590156e-05,0.000302772632608309
"AC011773.1",2.92574134650565,1.69977413167593,0.498513021771247,9.89078515396607e-05,0.000304181418759875
"GAS2L2",153.154631038842,-1.38949176121149,0.375008434870086,9.95581811113636e-05,0.000306130148453337
"SLC30A3",46.7053232608904,1.25704828241286,0.356015077166082,9.95703272718432e-05,0.000306141852206619
"KRT8P9",5.4042009114803,1.22912326585342,0.342289476782722,9.98104553316317e-05,0.000306803064337091
"AC090398.2",28.4328701001523,1.17723449507274,0.27499069896338,9.99586881775717e-05,0.000307207261019952
"AP001122.1",2.92167728932871,1.30018283492657,0.363592585064341,0.000100266258857148,0.00030810094007435
"IMPDH1P6",2.35979385280584,1.36424592945367,0.378663607125282,0.000100343707695031,0.000308261513270499
"ANO5",248.884434862594,-1.00736282988443,0.267625531383528,0.000100410197379943,0.000308414151570828
"GOLGA6L7",7.03367691197852,1.83303220029114,0.480475376454602,0.000100435068496266,0.000308464733463932
"CASC11",4.36148487154072,2.09571880761928,0.304106972766328,0.000100482660585554,0.00030858508364214
"MST1L",410.179353779931,1.2349570900387,0.349542299883819,0.000100769017959166,0.000309412723650778
"AC010327.4",1.57084723616731,3.50069338202425,0.921914621029429,0.000100791492119184,0.000309438381217918
"ART1",3.61541701662996,-1.38757570081631,0.376690235948457,0.000100850418706697,0.000309559091051545
"TULP3P1",1.59304121371825,-1.37908442461587,0.37961296675041,0.00010120937906475,0.00031058300340318
"AP000344.2",12.8614442169268,1.43560524629974,0.414327227981059,0.00010185866662017,0.000312418777932253
"ZBTB46-AS1",2.90301424633109,2.824622315177,0.82698493994952,0.000101890255470019,0.00031248955616956
"VSTM5",40.8190379987467,1.10432798807413,0.306183489890536,0.000102060971180122,0.000312986978285709
"AC099487.1",2.41923467326786,3.42794741135434,1.09441463750052,0.000102273769234237,0.000313613359038542
"SPANXA2-OT1",13.0159634430494,1.19710641396131,0.333947843678744,0.000102560745003044,0.000314362043050413
"AL513325.1",2.63022946527392,1.6885033527683,0.488980175002926,0.000102577394578718,0.000314386824763764
"LINC02725",6.48378629273711,2.83000324991147,0.526684279054061,0.000102668841512619,0.000314614561670024
"AC011815.2",13.7459765611554,1.0378694358928,0.285422512964765,0.000102996819776378,0.00031559326046338
"HAP1",47.570562951624,1.48057880936233,0.3376591939248,0.000103464234669657,0.000316919653392337
"DYDC1",4.99530563806771,-1.71738672175053,0.469678007688624,0.000103486978651152,0.000316962871282976
"TTLL8",1.79930041446979,3.57859095577387,0.884261102912146,0.000104264179295695,0.00031906042605064
"LINC02377",6.90658548778348,6.69979902784492,2.00946969922915,0.00010463402045918,0.00032010214376328
"ZFR2",73.4964227736376,1.77345175110541,0.508111454259251,0.000104732134604117,0.000320375599753993
"PDZK1",21.6301252876732,1.20460918735496,0.234684561596576,0.000105337534233276,0.000322120143838313
"HSPE1P5",1.90645173784378,1.98155142044149,0.491957774348197,0.000106080166599908,0.00032433706109857
"GALR3",1.78206872493323,2.47273299253568,0.721682648116922,0.000106128683546826,0.000324458375583983
"COL19A1",21.4834827911928,1.29048093776758,0.36891693413637,0.00010633356426281,0.000325057667967958
"EN1",3.17237727364157,4.10238406187423,0.649077736681581,0.00010642408281075,0.000325297408689864
"AC004832.5",7.88444856217154,1.10710769491096,0.307535234525003,0.000106531294524746,0.000325580780902039
"RNU6-915P",1.78137135169665,3.64864465836909,0.961754784080197,0.000106645000728456,0.000325846902508755
"ELOCP31",2.26235018191707,1.98547180485845,0.63760289980656,0.000106753692884957,0.00032615185671419
"AC011447.6",11.2335771484425,2.00007968649062,0.398996995900117,0.000107013302244217,0.000326917801163508
"DNAH8-AS1",1.5419963744661,1.94956898070414,0.652176064310138,0.000107144678969593,0.000327264675954055
"MOV10L1",35.9104060690198,1.35653355837205,0.296604919086857,0.000107436393125058,0.000328128389952128
"AC002563.1",11.8559000564542,1.55143214196093,0.45830208587255,0.000107466874217509,0.000328166876198015
"AC244250.4",1.45592820243046,2.34820777585911,0.705786237946233,0.000107492085897655,0.000328216560400192
"TMEM262",4.13777010096515,1.02980342297085,0.276661596771717,0.000107932649368306,0.000329424768688099
"ST18",32.5336301641065,2.33943361357075,0.310179604453015,0.000107952659577086,0.000329458449264688
"AL035446.1",22.2515281310132,-1.02115472004992,0.272959235570106,0.000108139931646532,0.00032994768605111
"LINC02771",1.89453409134265,2.39991914750997,0.718811643342308,0.00010846188504552,0.000330875000103961
"LINC00520",10.774125454804,-1.13280832186362,0.375096373713919,0.000108851261465603,0.000332007653168204
"PPP1R27",2.7240817327629,1.48819184868551,0.420066043967195,0.000108884094253936,0.000332080203711654
"AL450998.1",42.9537618129726,1.08872992425326,0.302283439827621,0.000109037540234483,0.000332465323276636
"PRDM9",2.83480893886444,4.73195618637596,1.38010302219792,0.000109168407667773,0.000332781424071467
"CLSTN2",229.465347415374,-1.01490602176505,0.271172656120272,0.000109345311643512,0.000333265335420959
"CCL16",4.63873358381681,-1.0470262949601,0.280090447108145,0.000109377355219725,0.000333335322159041
"LINC02811",2.46017006667186,1.33914360430201,0.373215170889036,0.000109412374148847,0.000333414364125508
"Z99755.1",1.54337709794735,2.42456258053767,0.771170432908455,0.000109441878912862,0.000333469593856808
"LINC00698",1.43324007204791,2.39183706266615,0.743724070425508,0.000109466505480427,0.00033349626385389
"ARL4AP5",3.97705986206268,1.33746107246624,0.37505117431856,0.000109618464067263,0.00033390379047225
"FOXG1",8.00510253032142,4.63372308130605,1.03873480634265,0.000109636921690394,0.000333932303469216
"AC020658.4",1.39444245007239,1.78955442101277,0.563861561586281,0.000110173249801702,0.000335482343734623
"AL160408.1",13.9104984530553,2.78544479751979,0.504385997192644,0.000110245888157476,0.000335675685342122
"AC009301.1",1.76632133481792,2.061172570262,0.637574178371378,0.000110285862473572,0.000335769547953877
"PROZ",8.35896523686591,1.55243280410832,0.311754171245931,0.000110360067115846,0.000335939741577949
"AC018816.2",2.17939931357436,2.25441151949156,0.684276139487543,0.000110399337508837,0.000336031416357745
"AC107308.1",2.17087612381478,5.72040949438106,1.52885143863444,0.000110603542483936,0.000336597151177279
"RPL35AP20",2.81549703899615,1.72381104288203,0.509075311647397,0.000110683055284803,0.000336811207278003
"PAGE5",5.33149317591961,4.59431825597233,0.689977573163536,0.000110714575753057,0.000336823358755447
"AL450345.1",2.27041005511854,7.42270317009928,2.7322406450921,0.000110702193027403,0.000336823358755447
"AL132655.2",4.27223212661938,1.59770876877276,0.46167430887498,0.000110709315863281,0.000336823358755447
"AC099520.1",2.26839936772039,5.5781277855939,1.54475249389488,0.000111337286187226,0.000338689740727661
"MYCL-AS1",1.63410382761243,2.02485748304059,0.604025397144249,0.000111365192070584,0.00033874655871122
"AC007991.4",7.96224641950221,1.45915977500864,0.42507609946326,0.000111486049390902,0.000339086080126046
"DNTT",1.5284008232492,2.42377312363601,0.775633130009269,0.000111536829777169,0.00033918732363299
"CCDC17",326.103614526392,-1.2042435279115,0.32545863645074,0.000111537816922028,0.00033918732363299
"SEPTIN12",1.39759138363336,2.64681621344399,0.806568815943945,0.000111614590739494,0.000339308355848061
"STC2",934.783014255179,1.01935016204397,0.281392272787113,0.000111935808227257,0.000340172170577544
"AL136987.1",1.82108623673794,2.76460478092145,0.790124277619625,0.000111948108642369,0.000340181388414246
"EDDM3A",2.33637939765735,3.361844465592,0.760432032011203,0.000112141898234293,0.000340713855353784
"RNU6-834P",1.51752071000911,1.66198958639526,0.519018443070204,0.000112342560524865,0.000341238784588064
"AC073107.2",5.30443008682028,1.07008394092449,0.294203421099099,0.000112556322663333,0.000341803233977963
"AC127024.2",7.61484918443966,1.10837256372916,0.308995111836773,0.000113314588093628,0.000344020502831933
"NKAIN2",27.2342571259346,1.95639244397941,0.547774876428338,0.000114084110487887,0.000346242209821359
"RFX6",10.3209261022116,4.53056159455908,0.791474366986967,0.000114153947278683,0.000346368250678285
"LINC01139",83.8661426614572,1.55525803693882,0.468046108158813,0.000114324345859452,0.000346856606976508
"AC027811.1",6.40579928364261,1.66119433509051,0.390038690737648,0.000114449995198666,0.000347180433332172
"AL121935.2",4.04479249147025,1.3965796002543,0.402794578505464,0.000114784254687155,0.000348062986344605
"AL022097.1",4.07466904630711,2.33631891436641,0.531028313795531,0.000115037447134594,0.000348703105649601
"PATE2",1.63186901866225,3.01463829674809,0.862020273297093,0.000115312031069214,0.000349448859612706
"BRINP1",368.395234249595,1.67734165538631,0.514759103694531,0.000115431593911687,0.000349753441957094
"EEF1A1P5",2495.065344309,-1.02794729927049,0.276064587349228,0.000115423639586982,0.000349753441957094
"AP000553.9",8.07450478181041,1.23187147369185,0.348334338085394,0.000115983669579508,0.000351339209681844
"AL031985.4",1.47417047174449,2.98844609173856,0.882987156793559,0.000116257682302436,0.000352140193246788
"MIR4768",5.46232027228936,1.52783050419349,0.445990985273821,0.000116318867567314,0.000352296451374666
"AC113410.3",2.92701023245441,1.48253955660839,0.429204309333652,0.000116659565621057,0.000353258270138041
"Z98885.3",16.6099853022476,1.08330431145909,0.302701848256237,0.000117031477999329,0.000354162530453369
"ATP5MFP4",3.04997736310411,1.28284591492046,0.355762227818636,0.000117151573157856,0.000354467519574562
